job_id,company_name,job_title,job_location,job_schedule_type,job_work_from_home,salary_year_avg,job_posted_date
226942,Mantys,Data Analyst,Anywhere,Full-time,1,650000,20/02/2023 15:13
547382,Meta,Director of Analytics,Anywhere,Full-time,1,336500,23/08/2023 12:04
552322,AT&T,Associate Director- Data Insights,Anywhere,Full-time,1,255829.5,18/06/2023 16:03
99305,Pinterest Job Advertisements,"Data Analyst, Marketing",Anywhere,Full-time,1,232423,05/12/2023 20:00
1021647,Uclahealthcareers,Data Analyst (Hybrid/Remote),Anywhere,Full-time,1,217000,17/01/2023 0:17
168310,SmartAsset,Principal Data Analyst (Remote),Anywhere,Full-time,1,205000,09/08/2023 11:00
731368,Inclusively,"Director, Data Analyst - HYBRID",Anywhere,Full-time,1,189309,07/12/2023 15:00
310660,Motional,"Principal Data Analyst, AV Performance Analysis",Anywhere,Full-time,1,189000,05/01/2023 0:00
1749593,SmartAsset,Principal Data Analyst,Anywhere,Full-time,1,186000,11/07/2023 16:00
387860,Get It Recruit - Information Technology,ERM Data Analyst,Anywhere,Full-time,1,184000,09/06/2023 8:01
1352513,A-Line Staffing Solutions,REMOTE Director of Data Analytics,Anywhere,Full-time,1,170000,09/08/2023 14:02
1781684,Robert Half,DTCC Data Analyst,Anywhere,Full-time,1,170000,06/10/2023 0:01
987523,"Kelly Science, Engineering, Technology & Telecom",Azure Data Python Consultant - contract to HIRE - Citizen or Perm...,Anywhere,Contractor,1,170000,23/01/2023 22:28
1525451,Uber,"Manager, Data Analyst",Anywhere,Full-time,1,167000,18/04/2023 7:01
712473,Get It Recruit - Information Technology,Data Analyst,Anywhere,Full-time,1,165000,14/08/2023 16:01
1246069,Plexus Resource Solutions,Data Analyst,Anywhere,Full-time,1,165000,08/12/2023 9:16
1799883,Mayo Clinic,Principal Data Science Analyst- Remote,Anywhere,Full-time,1,164746,14/04/2023 12:05
1423236,Mayo Clinic,Principal Data Science Analyst- Remote,Anywhere,Full-time,1,164746,13/01/2023 13:04
618890,CEDARS-SINAI,Principal Data Intelligence Analyst - Cardiac - Remote,Anywhere,Full-time,1,163500,20/09/2023 13:00
918213,DIRECTV,Senior - Data Analyst,Anywhere,Full-time,1,160515,14/06/2023 21:01
182813,Get It Recruit - Information Technology,Principal Data Analyst,Anywhere,Full-time,1,160000,13/10/2023 9:00
783771,Robert Half,SQL DEVELOPER / DATA ANALYST (Insurance industry Experience) ...,Anywhere,Full-time,1,160000,30/01/2023 2:02
475626,Realtime Recruitment,Principal Data Analyst,Anywhere,Full-time,1,160000,02/02/2023 14:16
485388,"Edgewater Federal Solutions, Inc.",System Data Analyst,Anywhere,,1,157500,17/07/2023 18:00
266799,Uber,Applied Scientist - Maps,Anywhere,Full-time,1,157500,13/10/2023 7:03
25761,CaptivateIQ,Data Analyst - Remote,Anywhere,Full-time,1,155485.5,01/09/2023 16:41
105157,Motion Recruitment,Lead Data Analyst,Anywhere,Full-time,1,155000,05/01/2023 8:00
565646,Zscaler,Staff Business Data Analyst (Remote U.S. OK),Anywhere,Full-time,1,152625,07/03/2023 7:01
795614,Zscaler,Staff Business Data Analyst (Remote U.S. OK),Anywhere,Full-time,1,152625,11/03/2023 7:01
540057,Rocket Money,"Lead Data Analyst, Growth (Remote)",Anywhere,Full-time,1,152500,24/03/2023 7:00
72957,US Patent and Trademark Office,Management & Program Analyst (Data Analytics),Anywhere,Full-time and Part-time,1,152221.5,11/09/2023 16:00
456042,Get It Recruit - Healthcare,Data Analyst,Anywhere,Full-time,1,151500,25/09/2023 10:59
73304,Patterned Learning AI,Mid-Level Data Analyst,Anywhere,Full-time,1,150000,05/07/2023 7:01
591850,Patterned Learning AI,Mid-Level Data BI Analyst,Anywhere,Full-time,1,150000,17/07/2023 7:03
1402149,Edward Jones,Lead Data Analyst - Retirement Product Management,Anywhere,Full-time,1,148238.5,09/05/2023 10:04
1694004,EXL Service,Manager - Data Analyst,Anywhere,Full-time,1,147285,23/10/2023 7:00
479485,Level,Data Analyst,Anywhere,Full-time,1,145000,15/03/2023 16:59
405581,CyberCoders,Data Analyst,Anywhere,Full-time,1,145000,01/05/2023 13:00
1329162,Hire With Jarvis,Data Analyst - up to 160K+,Anywhere,Full-time,1,145000,18/04/2023 17:59
712558,ALTA IT Services,Data Scientist Analyst,Anywhere,Full-time,1,145000,13/02/2023 17:13
1275642,Edward Jones,Lead Data Analyst,Anywhere,Full-time,1,144481.5,28/01/2023 11:00
149006,Insight Global,People Data Analyst,Anywhere,Full-time,1,140500,31/07/2023 15:05
1090975,Uber,Data Analyst,Anywhere,Full-time,1,140500,24/03/2023 7:06
1392859,Motion Recruitment,Product Data Analyst,Anywhere,Full-time,1,140000,14/02/2023 8:00
762220,IT Pros,Qlik/Power BI Data Analyst | $130K-$150K + ESOP |100% USA-Remote,Anywhere,Full-time,1,140000,03/01/2023 4:00
208403,Insight Global,Data Manager,Anywhere,Full-time,1,140000,26/01/2023 16:01
1049000,Sisense,Sr. Data Analyst,Anywhere,Full-time,1,140000,17/07/2023 22:00
1300702,Revolut,Data Analyst (Product Data Analyst),Anywhere,Full-time,1,139000,04/08/2023 21:57
388392,United Services Automobile Association,Digital Marketing Data Analyst (Hybrid),Anywhere,Full-time,1,138640,13/08/2023 7:01
1482852,Overmind,Data Analyst,Anywhere,Full-time,1,138500,23/11/2023 12:38
350382,Get It Recruit - Information Technology,Lead I - Power BI Data Analyst,Anywhere,Full-time,1,138000,13/10/2023 10:01
835092,"Insight Global, Inc.",Secret Data Analyst Remote / Telecommute Jobs,Anywhere,Contractor,1,137500,20/10/2023 23:00
740073,WhiteCrow,Data Analytics Manager,Anywhere,Full-time,1,137000,28/07/2023 9:39
513988,Get It Recruit - Hospitality,Data Analyst - Advanced Analytics,Anywhere,Full-time,1,135000,27/08/2023 10:00
1326467,EPIC Brokers,Data Analyst,Anywhere,Full-time,1,135000,26/06/2023 17:00
777802,Robert Half,Lead Data Analyst / SQL Developer,Anywhere,Full-time,1,135000,13/10/2023 0:02
479965,InvestM Technology LLC,Data Analyst,Anywhere,Full-time,1,135000,26/02/2023 1:04
311931,SoftDev Incorporated,Data Analyst III,Anywhere,Full-time,1,132500,16/09/2023 13:02
990420,Get It Recruit - Information Technology,Data Insights Analyst III,Anywhere,Full-time,1,132500,12/12/2023 8:17
262837,Osmind,Quantitative Scientist (Remote),Anywhere,Full-time,1,132500,28/01/2023 8:04
1531276,Alpha Silicon,System Data Analyst,Anywhere,Full-time,1,130000,11/04/2023 20:00
21451,ApTask,Data Analyst must have telecom domain experince,Anywhere,Contractor,1,130000,28/04/2023 13:56
1209798,Doximity,Data Analyst,Anywhere,Full-time,1,130000,08/05/2023 19:02
92703,Launch Consulting Group,Sr. Data Analyst,Anywhere,Full-time,1,130000,19/09/2023 13:01
1686779,Get It Recruit - Information Technology,Data Insights Manager,Anywhere,Full-time,1,130000,09/12/2023 9:00
447569,Kforce Technology Staffing,Lead Data Analyst,Anywhere,Full-time,1,130000,03/05/2023 23:00
1566076,Lonza,"Manager, Data Analytics (Bioscience) - Remote",Anywhere,Full-time,1,129000,19/09/2023 14:00
1148444,Acorns,Data Analyst,Anywhere,Full-time,1,127000,22/06/2023 21:00
1791785,Cash App,Marketing Data Analyst (Remote),Anywhere,Full-time,1,127000,09/03/2023 7:01
592669,ICF,Behavioral Health Data Analyst- REMOTE,Anywhere,Full-time,1,126452,25/07/2023 17:41
116211,UnitedHealthcare,Sr Data Analyst - Remote,Anywhere,Full-time,1,126000,31/08/2023 20:00
502626,UnitedHealth Group,"Sr Data Analyst, Consultant - Client Facing - Remote",Anywhere,Full-time,1,126000,25/02/2023 14:00
1735665,USAA,Mid-Level Decision Science Analyst,Anywhere,Full-time,1,125930,01/10/2023 8:01
748965,Uber,"Strategy and Data Analyst, Sustainability",Anywhere,Full-time,1,125500,14/12/2023 8:00
900945,The Walt Disney Company,Data Analyst,Anywhere,Full-time,1,125000,27/12/2023 13:01
1551308,Get It Recruit - Information Technology,Investment Data and Analytics Manager,Anywhere,Full-time,1,125000,12/12/2023 8:17
400967,PWR Staffing & Recruiting,"Healthcare Data Analyst (Manager)- $120,000-130,000/yr | Remote in PST",Anywhere,Full-time,1,125000,21/08/2023 22:01
1216840,hims & hers,"Data Analyst, Operations (Remote)",Anywhere,Full-time,1,125000,01/02/2023 7:01
285447,Robert Half,Data Analyst,Anywhere,Full-time,1,125000,26/05/2023 14:59
300502,Get It Recruit - Real Estate,Healthcare Data Analyst,Anywhere,Full-time,1,125000,18/08/2023 17:00
1229773,"Infinity Consulting Solutions, Inc.","Manager, Data Analytics & Reporting - Remote",Anywhere,Full-time,1,125000,14/03/2023 4:02
595967,Starbridge Partners,Data Science Analyst 2 (Pop Health),Anywhere,Full-time,1,125000,11/01/2023 21:06
1682817,"Blackstone Consulting, Inc.",Data Analyst: regional physical security,Anywhere,Full-time,1,124500,27/05/2023 1:00
821092,Cloudflare,"Data Analyst, Support Operations",Anywhere,Full-time,1,124000,17/02/2023 19:02
970857,Exact Sciences Corporation,Senior Clinical Data Manager/Analyst II,Anywhere,Full-time,1,123249.5,19/06/2023 22:01
631753,Get It Recruit - Information Technology,Data Analytics Manager,Anywhere,Full-time,1,123000,30/07/2023 11:00
596565,ICF,Lead Analyst - Data Analytics - Remote,Anywhere,Full-time,1,122769,31/08/2023 20:30
841943,Get It Recruit - Finance,Financial Data Analyst,Anywhere,Full-time,1,122500,01/07/2023 19:00
238020,Innova Solutions,Business Data Analyst with SQL (Strong),Anywhere,Full-time,1,122500,19/06/2023 17:01
1015777,Analytic Recruiting Inc.,Decision Science Analyst - Consumer Lending,Anywhere,Full-time,1,122500,20/01/2023 19:22
298860,Cloudflare,"Sales Ops Data Analyst (Austin, TX or Remote)",Anywhere,Full-time,1,122000,01/08/2023 23:01
426033,CloudFlare,Sales Ops Data Analyst (Remote),Anywhere,Full-time,1,122000,01/08/2023 23:00
946582,Jobot,Senior Financial and Data Analyst | Hybrid Schedule,Anywhere,Full-time,1,120000,18/09/2023 23:40
1611348,M13,Lifeforce: Data Analyst (Remote),Anywhere,Full-time,1,120000,17/04/2023 22:59
999820,LAI,Business Intelligence Data Analyst,Anywhere,Full-time,1,120000,29/11/2023 16:00
1191992,Robert Half,Business Data Analyst,Anywhere,Contractor,1,120000,04/04/2023 15:56
236172,Get It Recruit - Information Technology,Data Analytics Analyst,Anywhere,Full-time,1,120000,04/11/2023 9:00
587198,Motion Recruitment,Data Architect,Anywhere,Full-time,1,120000,18/07/2023 6:35
1132443,US Development Finance Corporation (formerly Overseas Private Investment Corporation),Risk Data Analyst,Anywhere,Full-time,1,119908,20/06/2023 16:00
876656,CVS Health,Data Analyst,Anywhere,Full-time,1,119200,25/03/2023 7:59
