skill_id,skills,demand_count,avg_salary
0,sql,18771,102354
1,python,12135,102702
184,excel,10511,90719
183,tableau,10136,105507
186,power bi,6961,98009
2,r,5717,100302
185,looker,2836,104767
77,aws,2125,90142
74,azure,2059,97456
8,sas,2024,98036
194,sas,2024,98036
3,go,1988,122240
73,snowflake,1887,106611
198,powerpoint,1822,90153
188,word,1686,83990
76,oracle,1486,108183
56,sql server,1418,102529
212,flow,1266,100865
80,bigquery,1206,98518
195,sheets,1198,86839
191,sap,1180,118738
75,databricks,1018,126292
233,jira,985,122918
6,javascript,956,105122
215,git,901,111144
