"skills","skill_demand","year","month"
"sql","46034","2023","1"
"python","45143","2023","1"
"sql","32661","2023","2"
"sql","32330","2023","3"
"python","31950","2023","3"
"python","31939","2023","2"
"aws","16938","2023","1"
"r","16490","2023","1"
"azure","15481","2023","1"
"excel","15115","2023","1"
"tableau","14925","2023","1"
"spark","14430","2023","1"
"","12859","2023","1"
"aws","12350","2023","3"
"aws","12242","2023","2"
"r","11344","2023","3"
"r","11236","2023","2"
"azure","11099","2023","2"
"azure","11096","2023","3"
"tableau","10904","2023","2"
"tableau","10899","2023","3"
"excel","10730","2023","2"
"power bi","10691","2023","1"
"excel","10622","2023","3"
"java","10505","2023","1"
"spark","10161","2023","2"
"spark","9944","2023","3"
"","8715","2023","2"
"hadoop","8279","2023","1"
"","8248","2023","3"
"power bi","8043","2023","2"
"power bi","7868","2023","3"
"java","7638","2023","3"
"java","7507","2023","2"
"scala","7170","2023","1"
"kafka","6303","2023","1"
"git","6033","2023","1"
"hadoop","5982","2023","2"
"gcp","5830","2023","1"
"snowflake","5807","2023","1"
"databricks","5712","2023","1"
"hadoop","5708","2023","3"
"sas","5462","2023","1"
"oracle","5355","2023","1"
"nosql","5352","2023","1"
"docker","5218","2023","1"
"airflow","5188","2023","1"
"scala","5126","2023","3"
"scala","5085","2023","2"
"go","4917","2023","1"
"sql server","4876","2023","1"
"snowflake","4647","2023","3"
"snowflake","4632","2023","2"
"kafka","4626","2023","2"
"kubernetes","4617","2023","1"
"kafka","4528","2023","3"
"databricks","4354","2023","3"
"git","4353","2023","3"
"databricks","4306","2023","2"
"git","4273","2023","2"
"gcp","4267","2023","3"
"gcp","4124","2023","2"
"nosql","4096","2023","3"
"nosql","4085","2023","2"
"redshift","4000","2023","1"
"oracle","3967","2023","2"
"linux","3907","2023","1"
"tensorflow","3898","2023","1"
"word","3896","2023","1"
"oracle","3893","2023","3"
"sas","3869","2023","2"
"airflow","3862","2023","3"
"sas","3845","2023","3"
"pandas","3844","2023","1"
"flow","3756","2023","1"
"airflow","3707","2023","2"
"pyspark","3684","2023","1"
"powerpoint","3675","2023","1"
"docker","3656","2023","3"
"docker","3555","2023","2"
"kubernetes","3486","2023","3"
"sql server","3485","2023","2"
"go","3382","2023","2"
"go","3370","2023","3"
"sap","3370","2023","1"
"sql server","3312","2023","3"
"javascript","3208","2023","1"
"kubernetes","3125","2023","2"
"mysql","3015","2023","1"
"redshift","2984","2023","2"
"pytorch","2926","2023","1"
"redshift","2876","2023","3"
"bigquery","2817","2023","1"
"c++","2807","2023","1"
"word","2774","2023","2"
"pyspark","2735","2023","3"
"jira","2728","2023","1"
"linux","2718","2023","3"
"word","2697","2023","3"
"linux","2689","2023","2"
"flow","2669","2023","2"
"powerpoint","2668","2023","2"
"pyspark","2630","2023","2"
"powerpoint","2628","2023","3"
"tensorflow","2610","2023","2"
"pandas","2608","2023","2"
"tensorflow","2559","2023","3"
"flow","2518","2023","3"
"pandas","2514","2023","3"
"sap","2440","2023","2"
"numpy","2404","2023","1"
"ssis","2383","2023","1"
"jenkins","2369","2023","1"
"sap","2348","2023","3"
"shell","2326","2023","1"
"github","2308","2023","1"
"postgresql","2304","2023","1"
"mysql","2297","2023","3"
"scikit-learn","2282","2023","1"
"terraform","2277","2023","1"
"mongodb","2229","2023","1"
"mysql","2211","2023","2"
"looker","2192","2023","1"
"javascript","2192","2023","3"
"c#","2128","2023","1"
"bigquery","2119","2023","3"
"bigquery","2109","2023","2"
"pytorch","2086","2023","2"
"jira","2044","2023","3"
"pytorch","2033","2023","3"
"qlik","2028","2023","1"
"jira","2021","2023","2"
"javascript","2019","2023","2"
"terraform","1884","2023","3"
"c++","1872","2023","2"
"c","1870","2023","1"
"postgresql","1852","2023","3"
"c++","1831","2023","3"
"mongodb","1780","2023","3"
"jenkins","1765","2023","2"
"shell","1761","2023","2"
"jenkins","1754","2023","3"
"github","1747","2023","3"
"shell","1739","2023","3"
"ssis","1734","2023","2"
"postgresql","1701","2023","2"
"numpy","1675","2023","2"
"looker","1645","2023","3"
"terraform","1639","2023","2"
"looker","1639","2023","2"
"keras","1620","2023","1"
"github","1618","2023","2"
"mongodb","1617","2023","2"
"ssis","1606","2023","3"
"cassandra","1601","2023","1"
"scikit-learn","1588","2023","2"
"numpy","1573","2023","3"
"vba","1560","2023","1"
"unix","1555","2023","1"
"matlab","1545","2023","1"
"windows","1533","2023","1"
"qlik","1523","2023","2"
"alteryx","1518","2023","1"
"qlik","1494","2023","3"
"scikit-learn","1493","2023","3"
"c#","1452","2023","2"
"c#","1424","2023","3"
"spss","1379","2023","1"
"confluence","1326","2023","1"
"c","1312","2023","2"
"c","1296","2023","3"
"elasticsearch","1289","2023","1"
"bash","1259","2023","1"
"ssrs","1209","2023","1"
"windows","1203","2023","2"
"cassandra","1202","2023","2"
"alteryx","1164","2023","2"
"cassandra","1158","2023","3"
"vba","1148","2023","2"
"windows","1143","2023","3"
"jupyter","1131","2023","1"
"vba","1118","2023","3"
"alteryx","1100","2023","3"
"react","1093","2023","1"
"gitlab","1088","2023","1"
"keras","1086","2023","2"
"keras","1082","2023","3"
"outlook","1077","2023","1"
"t-sql","1072","2023","1"
"unix","1071","2023","3"
"dax","1061","2023","1"
"unix","1004","2023","2"
"matlab","1004","2023","2"
"sharepoint","984","2023","1"
"ansible","971","2023","1"
"matplotlib","957","2023","1"
"matlab","940","2023","3"
"express","928","2023","1"
"spss","925","2023","3"
"elasticsearch","921","2023","3"
"confluence","911","2023","3"
"html","908","2023","1"
"bash","905","2023","3"
"confluence","894","2023","2"
"elasticsearch","885","2023","2"
"gitlab","876","2023","3"
"spring","872","2023","1"
"spss","841","2023","2"
"bash","841","2023","2"
"dynamodb","833","2023","1"
"ssrs","827","2023","2"
"outlook","820","2023","3"
"jupyter","803","2023","3"
"outlook","795","2023","2"
"react","789","2023","3"
"sharepoint","789","2023","3"
"gitlab","774","2023","2"
