"job_id","company_name","job_title","salary_year_avg","skills","type"
552322,"AT&T","Associate Director- Data Insights","255829.5","sql","programming"
552322,"AT&T","Associate Director- Data Insights","255829.5","python","programming"
552322,"AT&T","Associate Director- Data Insights","255829.5","r","programming"
552322,"AT&T","Associate Director- Data Insights","255829.5","azure","cloud"
552322,"AT&T","Associate Director- Data Insights","255829.5","databricks","cloud"
552322,"AT&T","Associate Director- Data Insights","255829.5","aws","cloud"
552322,"AT&T","Associate Director- Data Insights","255829.5","pandas","libraries"
552322,"AT&T","Associate Director- Data Insights","255829.5","pyspark","libraries"
552322,"AT&T","Associate Director- Data Insights","255829.5","jupyter","libraries"
552322,"AT&T","Associate Director- Data Insights","255829.5","excel","analyst_tools"
552322,"AT&T","Associate Director- Data Insights","255829.5","tableau","analyst_tools"
552322,"AT&T","Associate Director- Data Insights","255829.5","power bi","analyst_tools"
552322,"AT&T","Associate Director- Data Insights","255829.5","powerpoint","analyst_tools"
99305,"Pinterest Job Advertisements","Data Analyst, Marketing","232423.0","sql","programming"
99305,"Pinterest Job Advertisements","Data Analyst, Marketing","232423.0","python","programming"
99305,"Pinterest Job Advertisements","Data Analyst, Marketing","232423.0","r","programming"
99305,"Pinterest Job Advertisements","Data Analyst, Marketing","232423.0","hadoop","libraries"
99305,"Pinterest Job Advertisements","Data Analyst, Marketing","232423.0","tableau","analyst_tools"
1021647,"Uclahealthcareers","Data Analyst (Hybrid/Remote)","217000.0","sql","programming"
1021647,"Uclahealthcareers","Data Analyst (Hybrid/Remote)","217000.0","crystal","programming"
1021647,"Uclahealthcareers","Data Analyst (Hybrid/Remote)","217000.0","oracle","cloud"
1021647,"Uclahealthcareers","Data Analyst (Hybrid/Remote)","217000.0","tableau","analyst_tools"
1021647,"Uclahealthcareers","Data Analyst (Hybrid/Remote)","217000.0","flow","other"
168310,"SmartAsset","Principal Data Analyst (Remote)","205000.0","sql","programming"
168310,"SmartAsset","Principal Data Analyst (Remote)","205000.0","python","programming"
168310,"SmartAsset","Principal Data Analyst (Remote)","205000.0","go","programming"
168310,"SmartAsset","Principal Data Analyst (Remote)","205000.0","snowflake","cloud"
168310,"SmartAsset","Principal Data Analyst (Remote)","205000.0","pandas","libraries"
168310,"SmartAsset","Principal Data Analyst (Remote)","205000.0","numpy","libraries"
168310,"SmartAsset","Principal Data Analyst (Remote)","205000.0","excel","analyst_tools"
168310,"SmartAsset","Principal Data Analyst (Remote)","205000.0","tableau","analyst_tools"
168310,"SmartAsset","Principal Data Analyst (Remote)","205000.0","gitlab","other"
731368,"Inclusively","Director, Data Analyst - HYBRID","189309.0","sql","programming"
731368,"Inclusively","Director, Data Analyst - HYBRID","189309.0","python","programming"
731368,"Inclusively","Director, Data Analyst - HYBRID","189309.0","azure","cloud"
731368,"Inclusively","Director, Data Analyst - HYBRID","189309.0","aws","cloud"
731368,"Inclusively","Director, Data Analyst - HYBRID","189309.0","oracle","cloud"
731368,"Inclusively","Director, Data Analyst - HYBRID","189309.0","snowflake","cloud"
731368,"Inclusively","Director, Data Analyst - HYBRID","189309.0","tableau","analyst_tools"
731368,"Inclusively","Director, Data Analyst - HYBRID","189309.0","power bi","analyst_tools"
731368,"Inclusively","Director, Data Analyst - HYBRID","189309.0","sap","analyst_tools"
731368,"Inclusively","Director, Data Analyst - HYBRID","189309.0","jenkins","other"
731368,"Inclusively","Director, Data Analyst - HYBRID","189309.0","bitbucket","other"
731368,"Inclusively","Director, Data Analyst - HYBRID","189309.0","atlassian","other"
731368,"Inclusively","Director, Data Analyst - HYBRID","189309.0","jira","async"
731368,"Inclusively","Director, Data Analyst - HYBRID","189309.0","confluence","async"
310660,"Motional","Principal Data Analyst, AV Performance Analysis","189000.0","sql","programming"
310660,"Motional","Principal Data Analyst, AV Performance Analysis","189000.0","python","programming"
310660,"Motional","Principal Data Analyst, AV Performance Analysis","189000.0","r","programming"
310660,"Motional","Principal Data Analyst, AV Performance Analysis","189000.0","git","other"
310660,"Motional","Principal Data Analyst, AV Performance Analysis","189000.0","bitbucket","other"
310660,"Motional","Principal Data Analyst, AV Performance Analysis","189000.0","atlassian","other"
310660,"Motional","Principal Data Analyst, AV Performance Analysis","189000.0","jira","async"
310660,"Motional","Principal Data Analyst, AV Performance Analysis","189000.0","confluence","async"
1749593,"SmartAsset","Principal Data Analyst","186000.0","sql","programming"
1749593,"SmartAsset","Principal Data Analyst","186000.0","python","programming"
1749593,"SmartAsset","Principal Data Analyst","186000.0","go","programming"
1749593,"SmartAsset","Principal Data Analyst","186000.0","snowflake","cloud"
1749593,"SmartAsset","Principal Data Analyst","186000.0","pandas","libraries"
1749593,"SmartAsset","Principal Data Analyst","186000.0","numpy","libraries"
1749593,"SmartAsset","Principal Data Analyst","186000.0","excel","analyst_tools"
1749593,"SmartAsset","Principal Data Analyst","186000.0","tableau","analyst_tools"
1749593,"SmartAsset","Principal Data Analyst","186000.0","gitlab","other"
387860,"Get It Recruit - Information Technology","ERM Data Analyst","184000.0","sql","programming"
387860,"Get It Recruit - Information Technology","ERM Data Analyst","184000.0","python","programming"
387860,"Get It Recruit - Information Technology","ERM Data Analyst","184000.0","r","programming"
1352513,"A-Line Staffing Solutions","REMOTE Director of Data Analytics","170000.0","sql","programming"
1352513,"A-Line Staffing Solutions","REMOTE Director of Data Analytics","170000.0","python","programming"
1352513,"A-Line Staffing Solutions","REMOTE Director of Data Analytics","170000.0","azure","cloud"
1781684,"Robert Half","DTCC Data Analyst","170000.0","java","programming"
1781684,"Robert Half","DTCC Data Analyst","170000.0","go","programming"
1781684,"Robert Half","DTCC Data Analyst","170000.0","excel","analyst_tools"
987523,"Kelly Science, Engineering, Technology & Telecom","Azure Data Python Consultant - contract to HIRE - Citizen or Perm...","170000.0","sql","programming"
987523,"Kelly Science, Engineering, Technology & Telecom","Azure Data Python Consultant - contract to HIRE - Citizen or Perm...","170000.0","python","programming"
987523,"Kelly Science, Engineering, Technology & Telecom","Azure Data Python Consultant - contract to HIRE - Citizen or Perm...","170000.0","azure","cloud"
987523,"Kelly Science, Engineering, Technology & Telecom","Azure Data Python Consultant - contract to HIRE - Citizen or Perm...","170000.0","databricks","cloud"
987523,"Kelly Science, Engineering, Technology & Telecom","Azure Data Python Consultant - contract to HIRE - Citizen or Perm...","170000.0","power bi","analyst_tools"
1525451,"Uber","Manager, Data Analyst","167000.0","sql","programming"
1525451,"Uber","Manager, Data Analyst","167000.0","python","programming"
1525451,"Uber","Manager, Data Analyst","167000.0","r","programming"
1525451,"Uber","Manager, Data Analyst","167000.0","swift","programming"
1525451,"Uber","Manager, Data Analyst","167000.0","excel","analyst_tools"
1525451,"Uber","Manager, Data Analyst","167000.0","tableau","analyst_tools"
1525451,"Uber","Manager, Data Analyst","167000.0","looker","analyst_tools"
1246069,"Plexus Resource Solutions","Data Analyst","165000.0","python","programming"
1246069,"Plexus Resource Solutions","Data Analyst","165000.0","mysql","databases"
1246069,"Plexus Resource Solutions","Data Analyst","165000.0","aws","cloud"
712473,"Get It Recruit - Information Technology","Data Analyst","165000.0","sql","programming"
712473,"Get It Recruit - Information Technology","Data Analyst","165000.0","python","programming"
712473,"Get It Recruit - Information Technology","Data Analyst","165000.0","r","programming"
712473,"Get It Recruit - Information Technology","Data Analyst","165000.0","sas","programming"
712473,"Get It Recruit - Information Technology","Data Analyst","165000.0","matlab","programming"
712473,"Get It Recruit - Information Technology","Data Analyst","165000.0","pandas","libraries"
712473,"Get It Recruit - Information Technology","Data Analyst","165000.0","tableau","analyst_tools"
712473,"Get It Recruit - Information Technology","Data Analyst","165000.0","looker","analyst_tools"
712473,"Get It Recruit - Information Technology","Data Analyst","165000.0","sas","analyst_tools"
618890,"CEDARS-SINAI","Principal Data Intelligence Analyst - Cardiac - Remote","163500.0","sas","programming"
618890,"CEDARS-SINAI","Principal Data Intelligence Analyst - Cardiac - Remote","163500.0","go","programming"
618890,"CEDARS-SINAI","Principal Data Intelligence Analyst - Cardiac - Remote","163500.0","crystal","programming"
618890,"CEDARS-SINAI","Principal Data Intelligence Analyst - Cardiac - Remote","163500.0","tableau","analyst_tools"
618890,"CEDARS-SINAI","Principal Data Intelligence Analyst - Cardiac - Remote","163500.0","sas","analyst_tools"
918213,"DIRECTV","Senior - Data Analyst","160515.0","sql","programming"
918213,"DIRECTV","Senior - Data Analyst","160515.0","python","programming"
918213,"DIRECTV","Senior - Data Analyst","160515.0","scala","programming"
918213,"DIRECTV","Senior - Data Analyst","160515.0","r","programming"
918213,"DIRECTV","Senior - Data Analyst","160515.0","mysql","databases"
918213,"DIRECTV","Senior - Data Analyst","160515.0","postgresql","databases"
918213,"DIRECTV","Senior - Data Analyst","160515.0","couchbase","databases"
918213,"DIRECTV","Senior - Data Analyst","160515.0","azure","cloud"
918213,"DIRECTV","Senior - Data Analyst","160515.0","databricks","cloud"
918213,"DIRECTV","Senior - Data Analyst","160515.0","aws","cloud"
918213,"DIRECTV","Senior - Data Analyst","160515.0","redshift","cloud"
918213,"DIRECTV","Senior - Data Analyst","160515.0","oracle","cloud"
918213,"DIRECTV","Senior - Data Analyst","160515.0","snowflake","cloud"
918213,"DIRECTV","Senior - Data Analyst","160515.0","watson","cloud"
918213,"DIRECTV","Senior - Data Analyst","160515.0","pyspark","libraries"
918213,"DIRECTV","Senior - Data Analyst","160515.0","airflow","libraries"
918213,"DIRECTV","Senior - Data Analyst","160515.0","linux","os"
918213,"DIRECTV","Senior - Data Analyst","160515.0","tableau","analyst_tools"
918213,"DIRECTV","Senior - Data Analyst","160515.0","ssis","analyst_tools"
918213,"DIRECTV","Senior - Data Analyst","160515.0","cognos","analyst_tools"
918213,"DIRECTV","Senior - Data Analyst","160515.0","visio","analyst_tools"
783771,"Robert Half","SQL DEVELOPER / DATA ANALYST (Insurance industry Experience) ...","160000.0","sql","programming"
783771,"Robert Half","SQL DEVELOPER / DATA ANALYST (Insurance industry Experience) ...","160000.0","java","programming"
182813,"Get It Recruit - Information Technology","Principal Data Analyst","160000.0","sql","programming"
182813,"Get It Recruit - Information Technology","Principal Data Analyst","160000.0","python","programming"
182813,"Get It Recruit - Information Technology","Principal Data Analyst","160000.0","r","programming"
182813,"Get It Recruit - Information Technology","Principal Data Analyst","160000.0","sas","programming"
182813,"Get It Recruit - Information Technology","Principal Data Analyst","160000.0","sql server","databases"
182813,"Get It Recruit - Information Technology","Principal Data Analyst","160000.0","azure","cloud"
182813,"Get It Recruit - Information Technology","Principal Data Analyst","160000.0","power bi","analyst_tools"
182813,"Get It Recruit - Information Technology","Principal Data Analyst","160000.0","sas","analyst_tools"
182813,"Get It Recruit - Information Technology","Principal Data Analyst","160000.0","ssrs","analyst_tools"
